id,span,propaganda,sequence_size,qm_size,em_size,ner_person,ner_organization,ner_country,sentiment,polarity,subjectivity,readability,loaded_language
15244,it won’t bring,1,14.00,0,0,,,,2.00,0.00,0.00,119.19,0.00
15245,It won’t destroy,1,16.00,0,0,,,,2.00,-0.20,0.00,93.81,0.00
15246,It won’,1,7.00,0,0,,,,3.00,0.00,0.00,120.21,0.00
15247,deal won’t destroy,1,18.00,0,0,,,,2.00,-0.20,0.00,93.81,0.00
15248,"Yet even an amended, improved deal will still serve as a shield to Iran’s nuclear program.",0,90.00,0,0,,,Iran,3.00,0.00,0.00,80.62,0.00
15249,"Clearly, it is better if the deal is amended to delete the sunset clauses and expand the inspections regime.",0,108.00,0,0,,,,1.00,0.50,0.50,69.11,0.00
15250,The problem here is not obvious.,0,32.00,0,0,,,,1.00,0.00,0.50,73.85,0.00
15251,"The second major risk inherent in Trump’s approach is that he will get his way; that the Europeans, Russians and Chinese and the Iranians will agree to improve the nuclear deal.",0,177.00,0,0,"his, Trump, he",,,1.00,0.02,0.17,48.47,0.00
15252,"And the more substantive those debates become, the further away the US discourse will move from the mendacious assumptions of Obama’s Iran policy – that the Iranian regime is a responsible actor and potential US ally, and that there is nothing inherently aggressive or problematic about Iran’s illicit nuclear weapons program.",0,326.00,0,0,Obama,,"Iran, US",1.00,0.17,0.64,11.25,0.00
15253,"Then again, by framing the issue of Iran’s threat to America as he did, and by transferring responsibility for reinstating sanctions and passing further sanctions on Iran to Congress, Trump opened up the possibility that Congress will conduct substantive – rather than personal – debates on Iran.",0,296.00,0,0,"Trump, he",Congress,"Iran, America",1.00,0.00,0.40,23.77,0.00
15254,"Indeed, given the rise of radical forces in their party it is likely that they would rather give Iran a free pass for its anti-American aggression and nuclear proliferation than work with Republicans on Capitol Hill and in the White House.",0,239.00,0,0,,,Iran,1.00,0.13,0.60,38.32,0.00
15255,"Leading Democratic senators like Robert Menendez, Ben Cardin and Chuck Schumer, who opposed Obama’s Iran deal may now feel that as opponents of the Trump administration, they are required to oppose any change to the Iran Nuclear Agreement Review Act.",0,250.00,0,0,"Chuck Schumer, Robert Menendez, Ben Cardin, Trump, Obama",,Iran,1.00,0.00,0.00,39.34,0.00
15256,What is true for Corker is doubly true for the Democrats.,0,57.00,0,0,Corker,,,3.00,0.35,0.65,94.15,0.00
15257,And he may do so even though the implications for his Senate colleagues would be dire and even though doing so would render him an unofficial protector of Iran’s nuclear program.,0,178.00,0,0,"his, he, him",Senate,Iran,1.00,0.00,0.00,48.47,0.00
15258,"If he wishes, out of spite, Corker can block effective sanctions from being passed.",0,83.00,0,0,"he, Corker",,,1.00,0.60,0.80,74.19,0.00
15259,Today Corker has nothing to restrain him from scuttling Trump’s agenda.,0,71.00,0,0,"Trump, Corker, him",,,1.00,0.00,0.00,68.77,0.00
15260,ugly public fight,1,17.00,0,0,,,,1.00,-0.35,0.53,59.97,0.00
15261,"Obama would have never been able to implement his nuclear deal if Senator Bob Corker, chairman of the Senate Foreign Affairs Committee, hadn’t agreed to cast the Constitution aside and ignore Obama’s constitutional duty to present the nuclear deal to the Senate for ratification as a treaty.",0,291.00,0,0,"Bob Corker, his, Obama","Senate, Senate Foreign Affairs Committee",,1.00,0.12,0.25,15.31,0.00
15262,"He has a lot of enemies, and the nuclear deal has a lot of supporters on Capitol Hill.",0,86.00,0,0,He,Capitol Hill,,3.00,0.00,0.00,70.13,0.00
15263,Trump’s decision to transfer immediate responsibility to Congress for holding Iran accountable for its hostile actions on the military and other fronts is a risky move.,0,168.00,0,0,Trump,Congress,Iran,2.00,-0.11,0.24,28.17,0.00
15264,"Unfortunately, it is also likely, indeed, it is more likely, that his words will not be translated into policies to achieve these critical aims.",0,144.00,0,0,his,,,1.00,0.00,0.86,47.12,0.00
15265,"Such a shift could potentially facilitate the achievement of Trump’s goals of preventing Iran from acquiring nuclear weapons, containing its regional aggression and empowerment and defeating its terrorist proxies.",0,213.00,0,0,Trump,,Iran,1.00,0.00,0.75,16.66,0.00
15266,"Trump’s address has the potential to serve as the foundation of a major, positive shift in US policy toward Iran.",0,113.00,0,0,Trump,,"Iran, US",3.00,0.10,0.68,51.18,0.00
15267,"Among other things, he suggested expanding the inspection regime against Iran’s nuclear installations and canceling the so-called “sunset” clause that places an end date on the restrictions governing certain components of Iran’s nuclear advancement.",0,249.00,0,0,he,,Iran,1.00,0.04,0.47,20.05,0.00
15268,"After putting them on notice, Trump discussed the possibility of improving Obama’s nuclear accord.",0,98.00,0,0,"Trump, Obama",,,1.00,0.00,0.00,31.89,0.00
15269,"By empowering Congress to prohibit economic cooperation with Iran, Trump put the Europeans, Chinese and Russians on notice that they may soon face a choice between conducting business with the US and conducting business with Iran.",0,230.00,0,0,Trump,Congress,"Iran, US",1.00,0.10,0.10,26.48,0.00
15270,"aggressive and illicit acts against the US, its interests and allies.",1,69.00,0,0,,,US,1.00,0.00,0.00,60.31,0.00
15271,"After accomplishing that goal, Trump turned his attention to how Iran is actually breaching the letter and spirit of the nuclear pact.",0,134.00,0,0,"his, Trump",,Iran,1.00,0.00,0.10,49.15,0.00
15272,"overarching hostility and aggression,",1,37.00,0,0,,,,2.00,0.00,0.00,-51.03,0.00
15273,"This was a critical point because for the past two years, US discourse on Iran has focused solely on whether or not Iran was complying with Obama’s nuclear pact.",0,161.00,0,0,Obama,,"Iran, US",1.00,-0.12,0.53,58.96,0.00
15274,the threat Iran constitutes to US national security and interests ,1,66.00,0,0,,,"Iran, US",2.00,0.00,0.00,27.49,0.00
15275,It is notable that these remarks preceded Trump’s discussion of the nuclear deal – which was the ostensible subject of his speech.,0,130.00,0,0,"his, Trump",,,3.00,0.17,0.42,57.61,0.00
15276,"sponsorship of terrorism,",1,25.00,0,0,,,,2.00,0.00,0.00,9.21,0.00
15277,the authoritarian theocrats,1,27.00,0,0,,,,2.00,0.00,0.00,-24.64,0.00
15278,Trump’s dossier was interlaced with condemnations of the regime’s repression of its own people.,0,95.00,0,0,Trump,,,1.00,0.60,1.00,57.27,0.00
15279,"seizure and hostage crisis,",1,27.00,0,0,,,,1.00,0.00,0.00,92.80,0.00
15280,Iran’s long rap sheet of aggression against America.,1,52.00,0,0,,,"Iran, America",2.00,-0.05,0.40,71.82,0.00
15281,murderous regime,1,16.00,0,0,,,,2.00,0.00,0.00,35.61,0.00
15282,"In his address Friday, Trump changed the policy dynamics that dictate US policy on Iran.",0,88.00,0,0,"his, Trump",,"Iran, US",1.00,0.00,0.00,56.25,0.00
15283,It was directional.,0,19.00,0,0,,,,2.00,0.00,0.00,34.59,0.00
15284,Trump’s move was not operational.,0,33.00,0,0,Trump,,,1.00,0.00,0.00,66.40,0.00
15285,"No, in his speech decertifying Iran’s compliance with the nuclear accord it struck with his predecessor Barack Obama, Trump didn’t announce a new strategy for preventing Iran from acquiring nuclear weapons, or stemming its hegemonic rise in the Middle East, or limiting its ability to sponsor terrorism.",0,303.00,0,0,"his, Trump, Barack Obama",,Iran,2.00,0.07,0.23,15.31,0.00
15286,"On Friday, US President Donald Trump initiated an important change in US policy toward Iran.",0,92.00,0,0,Donald Trump,,"Iran, US",1.00,0.40,1.00,39.33,0.00
15287,Originally published the Jerusalem Post.,0,40.00,0,0,,Jerusalem Post,,2.00,0.38,0.75,49.48,0.00
15288,THE OPPORTUNITIES AND RISKS OF TRUMP'S IRAN INITIATIVE,0,54.00,0,0,,,IRAN,1.00,0.00,0.00,46.44,0.00
15289,"And, according to the latest reports, are still looking for a motive for the shooting.",0,86.00,0,0,,,,1.00,0.50,0.90,64.71,0.00
15290,they desperately want us to believe,1,35.00,0,0,,,,2.00,-0.60,1.00,56.93,0.00
15291,"“I’m hoping everything is OK with him and I’m sure MGM or the union will let (media) know when we hear something,” he said.",0,123.00,0,0,"he, him",MGM,,1.00,0.50,0.69,80.96,0.00
15292,"It’s highly unusual,” Hickey told media.",0,40.00,0,0,Hickey,,,2.00,0.20,1.00,48.47,0.00
15293,"“Right now I’m just concerned where my member is, and what his condition is.",0,76.00,0,0,his,,,1.00,0.29,0.54,82.65,0.00
15294,He also isn’t listed on the registry that shows the names of licensed security guards in Nevada.,0,96.00,0,0,He,,,1.00,0.00,0.00,62.68,0.00
15295,vanishing into thin air.,1,24.00,0,0,,,,2.00,-0.40,0.85,50.50,0.00
15296,"David Hickey, a spokesman for the Security, Police, and Fire Professionals of America (SPFPA), Campos’s union, said he got a text that Campos had been taken to an urgent care facility, UMC Quick Care.",0,200.00,0,0,"he, David Hickey, Campos",UMC Quick Care,America,1.00,0.33,0.50,45.43,0.00
15297,"After speaking to hotel and law enforcement officials, Campos was scheduled to appear on local Las Vegas television for an interview but went missing just moments before he was supposed to be on the air.",0,203.00,0,0,"he, Campos",,,1.00,-0.10,0.03,35.95,0.00
15298,But Campos has been a mysterious subject since being wounded in the first moments of Paddock’s assault.,0,103.00,0,0,Campos,,,1.00,0.03,0.56,54.22,0.00
15299,"Moments later (6 minutes actually, according to the newly revised timeline regarding Campos) Paddock allegedly opened fire on a crowd killing more than 50 and injuring nearly 500.",0,179.00,0,0,Campos,,,1.00,0.11,0.26,34.60,0.00
15300,"Once he saw Campos, Paddock reportedly fired nearly 200 rounds through his suite door, wounding Campos in the leg.",0,114.00,0,0,"his, he, Campos",,,1.00,0.10,0.40,69.11,0.00
15301,they want the public to believe,1,31.00,0,0,,,,2.00,0.00,0.07,90.77,0.00
15302,His mere existence appears to have been fabricated by the very authorities who are cramming lies down our throats about this massacre for the sake of political agendas.,0,168.00,0,0,His,,,1.00,-0.09,0.39,51.52,0.00
15303,"Of course, this leads many to believe that Campos didn’t even exist, to begin with.",0,83.00,0,0,Campos,,,1.00,0.50,0.50,81.63,0.00
15304,mysteriously vanished into thin air,1,35.00,0,0,,,,2.00,-0.20,0.93,15.64,0.00
15305,"He’s the heroic security guard that allegedly located the Las Vegas shooter, Steven Paddock.",0,92.00,0,0,"He, Steven Paddock",,,1.00,0.30,0.50,40.35,0.00
15306,"By now, we have all heard of Jesus Campos.",0,42.00,0,0,Jesus Campos,,,2.00,0.00,0.00,96.18,0.00
15307,Mysteriously Vanished Into Thin Air,1,35.00,0,0,,,,2.00,-0.20,0.93,15.64,0.00
15308,"The Red Cross has released more than $1 million to deploy a treatment center and has mobilized more than 1,000 volunteers and is upgrading their skills on community surveillance, finding and monitoring people who have been in contact with infected patients and insightful messaging to stop the spread of this disease.",0,317.00,0,0,,Red Cross,,1.00,0.18,0.22,19.71,0.00
15309,WHO delivered more than 1.2 million doses of antibiotics and released $1.5 million in emergency funds earlier this month.,0,121.00,0,0,,,,1.00,0.25,0.50,52.19,0.00
15310,"Internationally, this outbreak is also being taken seriously.",0,61.00,0,0,,,,1.00,-0.17,0.33,-12.79,0.00
15311,"But, occasionally there can be cases of septicemic plague, where the infection has spread to a person’s bloodstream and can cause bleeding and necrosis of tissue, turning it black.",0,180.00,0,0,,,,1.00,-0.08,0.28,50.50,0.00
15312,Early detection of the plague is key since both forms of it can be cured with antibiotics.,0,90.00,0,0,,,,1.00,0.05,0.65,79.60,0.00
15313,black death,1,11.00,0,0,,,,1.00,-0.17,0.43,120.21,0.00
15314,"They’ve also seen an unexpected number of cases of pneumonic plague, which transmits more easily from person to person.",0,119.00,0,0,,,,2.00,0.34,0.78,43.73,0.00
15315,"This year, health officials report the infections started much earlier than usual, and they’re occurring in new areas, including urban settings.",0,144.00,0,0,,,,1.00,-0.03,0.30,33.24,0.00
15316,"And while the country experiences regular outbreaks, with an estimated 400 cases of plague each year, this time things are very different, experts warn.",0,152.00,0,0,,,,1.00,0.00,0.43,47.12,0.00
15317,They include probable and suspected cases as well those that have been confirmed by laboratory tests.,0,101.00,0,0,,,,1.00,0.40,1.00,46.78,0.00
15318,"According to CNN, the cases were reported by both the World Health Organization (WHO) and the National Bureau for Risk and Disaster Management (BNGRC) in Madagascar.",0,165.00,0,0,,"World Health Organization, National Bureau, CNN",Madagascar,1.00,0.00,0.00,36.63,0.00
15319,extremely,1,9.00,0,0,,,,2.00,-0.12,1.00,-47.99,0.00
15320,The infection can be transmitted from person to person via airborne droplets from coughing or sneezing.,0,103.00,0,0,,,,1.00,0.00,0.00,55.24,0.00
15321,Pneumonic plague is more virulent or damaging and is an advanced form of the disease characterized by a severe lung infection.,0,126.00,0,0,,,,1.00,0.45,0.55,41.70,0.00
15322,"Symptoms can include painful, swollen lymph nodes, called buboes, as well as fever, chills, and coughing.",0,105.00,0,0,,,,1.00,-0.70,0.90,89.08,0.00
15323,The bacteria will eventually end up causing the often fatal plague.,0,67.00,0,0,,,,2.00,0.00,0.00,51.85,0.00
15324,"Plague is caused by infection with the bacterium Yersinia pestis and is typically spread through the bite of infected fleas, frequently carried by rats.",0,152.00,0,0,,,,1.00,-0.03,0.40,55.58,0.00
15325,"Of Madagascar’s 114 districts, 35 have reported cases of plague, including at least 10 cities.",0,94.00,0,0,,,Madagascar,1.00,-0.30,0.40,64.71,0.00
15326,"A further 54 were unspecified, according to the World Health Organization.",0,74.00,0,0,,World Health Organization,,1.00,0.00,0.50,34.93,0.00
15327,"Of the 684 cases reported as of October 12, 474 were the pneumonic plague, 156 bubonic and 1 septicemic plague.",0,111.00,0,0,,,,1.00,0.00,0.00,59.64,0.00
15328,An estimated 329 of these cases and 25 of the deaths were in the capital city of Antananarivo.,0,94.00,0,0,,,,1.00,0.00,0.00,61.67,0.00
15329,"These figures are from October 12, however, and the disease is spreading rapidly.",0,81.00,0,0,,,,1.00,0.00,0.00,58.28,0.00
15330,"So far, the plague has claimed 57 lives and infected more than 680 others.",0,74.00,0,0,,,,1.00,0.30,0.75,91.11,0.00
15331,the likelihood that this disease will move to other more densely populated regions of the planet has become a huge concern for many,1,131.00,0,0,,,,1.00,0.32,0.57,56.59,0.00
15332,unprecedented,1,13.00,0,0,,,,2.00,0.60,0.90,-132.59,0.00
15333,Madagascar Plague Outbreak Has Already Killed 57 And Infected Over 600,0,70.00,0,0,,,Madagascar,1.00,-0.20,0.00,68.77,0.00
15334,"Appeasement through phony deals with a rogue dictatorship does not work, as proven by the infamous Munich Pact signed by British and French Prime Ministers Neville Chamberlain and Edouard Daladier with German Chancellor Adolf Hitler seventy-nine years ago.",0,256.00,0,0,"Adolf Hitler, Neville Chamberlain, Edouard Daladier",Munich Pact,,1.00,-0.12,0.25,41.37,0.00
15335,Perhaps these European leaders should remember their own history.,0,65.00,0,0,,,,2.00,0.30,0.50,36.96,0.00
15336,"the US Administration and Congress to consider the implications to the security of the US and its allies before taking any steps that might undermine the JCPOA, such as re-imposing sanctions on Iran lifted under the agreement.”",1,227.00,0,0,,"US Administration, Congress","Iran, US",1.00,0.00,0.50,25.46,0.00
15337,They said that the nuclear deal with Iran was “the culmination of 13 years of diplomacy and was a major step towards ensuring that Iran’s nuclear programme is not diverted for military purposes.,0,194.00,0,0,,,Iran,1.00,-0.02,0.30,37.98,0.00
15338,"British Prime Minister Theresa May, French President Emmanuel Macron and German Chancellor Angela Merkel issued a joint statement last Friday praising the JCPOA and its implementation.",0,184.00,0,0,"Theresa May, Angela Merkel, Emmanuel Macron",,,1.00,0.00,0.02,36.63,0.00
15339,America’s European allies are also upset with President Trump for refusing to recertify the deal and threatening to pull out if certain conditions are not met.,0,159.00,0,0,Trump,,America,1.00,0.11,0.29,36.63,0.00
15340,It is precisely because North Korea’s actions over the last 23 years have proven that making concessions to a rogue regime in order to obtain denuclearization commitments is so dangerous that President Trump does not want to make the same mistake with Iran.,0,257.00,0,0,Trump,,"Iran, North Korea",1.00,-0.05,0.47,36.29,0.00
15341,"Instead, Clinton started us down the primrose path of naïve diplomacy with a duplicitous regime that now is on the verge of being able to strike the U.S. mainland with nuclear warheads delivered by intercontinental ballistic missiles.",0,234.00,0,0,Clinton,,U.S.,1.00,0.17,0.46,33.92,0.00
15342,"fiasco,",1,7.00,0,0,,,,2.00,0.00,0.00,-47.99,0.00
15343,"Kerry declared, “15 or 25 years from now, we still have the same military options we have today.”",0,97.00,0,0,Kerry,,,1.00,-0.05,0.11,78.59,0.00
15344,"In the meantime, Kerry advises us not to worry.",0,47.00,0,0,Kerry,,,1.00,0.00,0.00,62.34,0.00
15345,let’s just kick the can down the road,1,37.00,0,0,,,,2.00,-0.16,0.29,114.12,0.00
15346,"""We were comfortable because the cap on Iran’s low-enriched uranium stockpile remains in place until 2030,” Kerry wrote in an article published in the Washington Post late last month.",0,183.00,0,0,Kerry,Washington Post,Iran,1.00,0.03,0.49,50.50,0.00
15347,"He claims the phrase 'sunset provisions' is a “misnomer,” before then defending the JCPOA’s time limits.",0,104.00,0,0,He,JCPOA,,1.00,0.00,0.00,63.70,0.00
15348,This month Kerry has resorted to parsing words.,0,47.00,0,0,Kerry,,,2.00,0.00,0.00,71.82,0.00
15349,There’s no sunset in this agreement.”,0,37.00,0,0,,,,1.00,0.00,0.00,73.85,0.00
15350,"Kerry claimed on September 2, 2015 that the JCPOA “never sunsets.",0,65.00,0,0,Kerry,,,1.00,0.00,0.00,68.77,0.00
15351,Obama administration lied about that too.,1,41.00,0,0,Obama,,,1.00,0.00,0.00,48.47,0.00
15352,The IAEA knows not to ask.,0,26.00,0,0,,IAEA,,2.00,0.00,0.00,116.15,0.00
15353,Intimidation works.,0,19.00,0,0,,,,3.00,0.00,0.00,-49.00,0.00
15354,"“Nobody is allowed to visit Iran's military sites,” said Iran’s Head of Strategic Research Center at the Expediency Council and adviser to Supreme Leader Ayatollah Khamenei, Ali Akbar Velayati.",0,193.00,0,0,"Ayatollah Khamenei, Ali Akbar Velayati","Expediency Council, Strategic Research Center",Iran,1.00,-0.10,0.10,25.12,0.00
15355,The IAEA should just pretend that such tests could not possibly happen again.,0,77.00,0,0,,IAEA,,1.00,0.00,0.75,83.66,0.00
15356,"Evidently, the IAEA is supposed to block out the fact that Iran had conducted tests relevant to nuclear bomb detonations at a military site before the JCPOA’s finalization in 2015.",0,180.00,0,0,,"IAEA, JCPOA",Iran,1.00,0.18,0.42,41.03,0.00
15357,The IAEA’s explanation for not visiting any of Iran’s known military sites is that it had “no reason to ask” for access.,0,120.00,0,0,,IAEA,Iran,1.00,-0.10,0.10,66.07,0.00
15358,IAEA inspectors have avoided examining military sites it knows exists and has no reliable way of tracking undeclared sites.,0,123.00,0,0,,IAEA,,1.00,-0.10,0.10,43.73,0.00
15359,"The problem, as any clear-eyed observer of the process recognizes, is that the IAEA relies on Iran for self-inspection of certain sites that the regime does not want the IAEA to inspect freely on its own.",0,204.00,0,0,,IAEA,Iran,1.00,0.40,0.79,60.32,0.00
15360,IAEA chief Yukiya Amano reiterated in a statement he issued on October 9th that Iran has remained in compliance with its JCPOA commitments.,0,139.00,0,0,"Yukiya Amano, he",IAEA,Iran,1.00,0.00,0.00,48.13,0.00
15361,"Iran was found to have slightly exceeded the limit on its stock of heavy water, but has remedied the problem to the IAEA’s satisfaction.",0,136.00,0,0,,IAEA,Iran,1.00,-0.18,0.33,64.04,0.00
15362,"The JCPOA’s supporters, including Kerry, have made much of the fact that the International Atomic Energy Agency (IAEA) has on several occasions verified Iran’s compliance with its commitments under the JCPOA, keeping its stock of low-enriched uranium below the limit set forth in the JCPOA and not pursuing further construction of the Arak reactor.",0,348.00,0,0,Kerry,"IAEA, JCPOA, International Atomic Energy Agency",Iran,0.00,0.05,0.17,8.21,0.00
15363,"“We never sought in this negotiation the capacity for so-called anytime, anywhere,” Rhodes said on July 14, 2015.",0,113.00,0,0,Rhodes,,,1.00,0.00,0.00,44.75,0.00
15364,shamelessly denied,1,18.00,0,0,,,,1.00,0.00,0.00,-6.70,0.00
15365,This was another lie.,1,21.00,0,0,,,,1.00,0.00,0.00,75.88,0.00
15366,"Rhodes claimed that “if we see a site that we need to inspect on a military facility, we can get access to that site and inspect it.",0,132.00,0,0,Rhodes,,,1.00,-0.10,0.10,69.45,0.00
15367,"Deputy National Security Advisor Ben Rhodes told CNN, during an interview aired on April 6, 2015, that under the deal’s terms then still being negotiated, “you will have anywhere, anytime, 24/7 access as it relates to the nuclear facilities that Iran has.""",0,256.00,0,0,Ben Rhodes,CNN,Iran,1.00,0.10,0.70,28.85,0.00
15368,"In short, the JCPOA did not cover the missile tests and the replacement UN Security Council resolution that did mention the missiles is toothless.",0,146.00,0,0,,UN Security Council,,1.00,0.00,0.30,47.12,0.00
15369,"“A call is different from a ban so legally you cannot violate a call, you can comply with a call or you can ignore the call, but you cannot violate a call,” the Russian ambassador said.",0,185.00,0,0,,,,1.00,0.07,0.27,51.86,0.00
15370,"Russian Ambassador to the United Nations Vitaly Churkin, spurning requests from Obama administration officials to impose sanctions against Iran under the Security Council resolution, asserted that the Iranian missile test did not violate the resolution.",0,253.00,0,0,"Vitaly Churkin, Obama","Security Council, United Nations",Iran,1.00,0.00,0.00,2.11,0.00
15371,This is not a breach of the JCPOA.”,0,35.00,0,0,,,,1.00,0.00,0.00,114.12,0.00
15372,"The commander of Iran’s Army, Major General Ataollah Salehi, had told reporters just a month before the launch of those missiles that Iran was ""neither paying any attention to the resolutions against Iran, nor implementing them.",0,228.00,0,0,Ataollah Salehi,Army,Iran,1.00,0.06,0.50,34.94,0.00
15373,Israel must be wiped out”,1,25.00,0,0,,,Israel,2.00,0.00,0.00,100.24,0.00
15374,The new resolution replaced clear prohibitions imposed on Iran’s ballistic missile program with a weak declaration in an annex that simply “calls upon” Iran not to undertake any activity such as development and test launches related to ballistic missiles designed to be capable of delivering nuclear weapons for eight years.,0,324.00,0,0,,,Iran,1.00,0.01,0.45,3.81,0.00
15375,"The Obama administration’s response was that the missiles had become a separate issue, to be dealt with under a new United Nations Security Council resolution endorsing the JCPOA.",0,179.00,0,0,Obama,United Nations Security Council,,1.00,0.14,0.45,26.14,0.00
15376,"After the JCPOA was finalized, with no such prohibition included, Iran continued to test such missiles.",0,103.00,0,0,,,Iran,1.00,0.00,0.50,46.78,0.00
15377,This turned out to be a lie.,0,28.00,0,0,,,,2.00,0.00,0.00,115.13,0.00
15378,Kerry had promised that the Iranian regime would be prohibited from testing ballistic missiles.,0,95.00,0,0,Kerry,,,1.00,0.00,0.00,48.81,0.00
15379,It bought time to turn into a full-fledged nuclear power under our noses.,0,73.00,0,0,,,,2.00,0.60,0.90,75.20,0.00
15380,"Congress should also consider whether time limits on Iran’s commitments continue to make sense in light of what we are now experiencing with Iran’s nuclear technology collaborator, North Korea.",0,193.00,0,0,,Congress,"Iran, North Korea",1.00,0.40,0.70,25.12,0.00
15381,Congress should now have the opportunity to revisit the JCPOA to determine whether the protections that the Obama administration promised are working as advertised.,0,164.00,0,0,Obama,"JCPOA, Congress",,1.00,0.00,0.00,30.20,0.00
15382,"Had Obama followed the Constitution and submitted the JCPOA to the Senate as a treaty in the first place, the JCPOA in its present form almost certainly would not have been approved.",0,182.00,0,0,Obama,"JCPOA, Senate",,1.00,0.15,0.30,55.92,0.00
15383,"Moreover, all that President Trump has done so far is to return the JCPOA to Congress for review.",0,97.00,0,0,Trump,Congress,,1.00,0.10,1.00,78.59,0.00
15384,"The Obama administration lied to the American people,",1,53.00,0,0,Obama,,,2.00,0.00,0.00,29.52,0.00
15385,trying to clean up the mess,1,27.00,0,0,,,,1.00,0.10,0.44,99.23,0.00
15386,Instead they caved to Iranian pressure in order to get the deal done.,0,69.00,0,0,,,,2.00,0.00,0.00,75.20,0.00
15387,Obama and Kerry had promised that these issues would be dealt with satisfactorily before agreeing to the final terms of the JCPOA.,0,130.00,0,0,"Kerry, Obama",,,1.00,0.00,1.00,57.61,0.00
15388,"The JCPOA’s fundamental flaws that President Trump wants fixed include Iran’s ability to block unfettered international inspections, the wiggle room that Iran is exploiting to continue developing and testing ballistic missiles capable of delivering nuclear weapons, and the sunset clause on nuclear enrichment that would provide Iran a clear path to becoming a nuclear armed state after the current restrictions are lifted.",0,423.00,0,0,Trump,JCPOA,Iran,1.00,0.15,0.33,-8.38,0.00
15389,"President Trump insisted on significant improvements to the Joint Plan of Comprehensive Action (JCPOA), as the deal is formally known.",0,134.00,0,0,Trump,,,1.00,0.24,0.49,34.26,0.00
15390,disastrous nuclear deal,1,23.00,0,0,,,,1.00,-0.70,0.80,9.21,0.00
15391,Kerry On Edge As Legacy Crumbles,0,32.00,0,0,Kerry,,,2.00,0.00,0.00,73.85,0.00
15392,Article posted with permission from Pamela Geller,0,49.00,0,0,Pamela Geller,,,2.00,0.00,0.00,55.91,0.00
15393,"As to Paddock’s motive, still nothing from the investigation.",0,61.00,0,0,,,,1.00,0.00,0.00,36.96,0.00
15394,These discrepancies on basic facts are feeding conspiracy theories.,1,67.00,0,0,,,,1.00,0.00,0.12,20.04,0.00
15395,"… on Thursday, in response to inquiries about when Mandalay Bay notified police of the Campos shooting, MGM Resorts issued a statement that was unequivocal: Las Vegas police officers accompanied Mandalay Bay security to the Campos shooting and “immediately responded.” MGM said that “Metro officers were together with armed Mandalay Bay security officers in the building when Campos first reported that shots were fired over the radio.",0,435.00,0,0,Campos,"MGM Resorts, Metro, MGM",,1.00,0.25,0.33,-5.00,0.00
15396,The discrepancy could raise questions about whether police might have taken steps to intervene while Paddock was launching his devastating 10-minute onslaught….,0,160.00,0,0,"Paddock, his",,,1.00,-1.00,1.00,40.69,0.04
15397,"But MGM Resorts International, the owner of Mandalay Bay, says police officers were there shortly after the shooting began, responding to a report of a security guard being shot.",0,178.00,0,0,,MGM Resorts International,,1.00,0.00,0.15,33.58,0.00
15398,Las Vegas police say they didn’t get to the floor until after the shooting was over.,0,84.00,0,0,,,,1.00,0.00,0.00,72.16,0.00
15399,"Not so fast, the police and hotel still have disagreement over important details, such as when police arrived relative to Paddock’s shooting at the crowd: An enormous, important discrepancy has emerged over what happened during the Las Vegas massacre: When did police arrive on the 32nd floor where Stephen Paddock was firing his deadly fusillade onto concertgoers below?",0,371.00,1,0,"Stephen Paddock, his",,,1.00,0.11,0.63,12.61,0.00
15400,"Clear, right?",0,13.00,1,0,,,,2.00,0.19,0.46,120.21,0.00
15401,"The guard was eventually fired upon by Paddock “in close proximity to” 10:05 p.m., when the mass shooting began, Lombardo continued.",0,132.00,0,0,Lombardo,,,1.00,0.00,0.00,41.70,0.00
15402,"Upon investigation, Lombardo said, police learned that Campos first encountered a barricaded door on the 32nd floor at 9:59 p.m.",0,128.00,0,0,"Lombardo, Campos",,,1.00,0.25,0.33,42.72,0.00
15403,"On Friday, Lombardo effectively agreed with the company’s statement, though he argued that the 9:59 p.m. time he had offered four days earlier “wasn’t inaccurate when I provided it.” Lombardo said he was told this time had been written by someone in a security log.",0,265.00,0,0,"Lombardo, he",,,1.00,0.30,0.65,25.80,0.00
15404,"MGM, though, said it was “confident” that the 9:59 p.m. time was inaccurate and “was derived from a Mandalay Bay report manually created after the fact without the benefit of information we now have.” The company also disputed the suggestion of a lag, saying the shooting rampage began within a minute of Campos reporting his injury on the 32nd floor.",0,351.00,0,0,"his, Campos",MGM,,1.00,0.50,0.83,10.58,0.00
15405,"Police said officers arrived on the 32nd floor at 10:17 p.m., two minutes after Paddock had stopped firing.",0,107.00,0,0,,,,2.00,0.00,0.00,70.13,0.00
15406,This six-minute gap relayed by Lombardo left uncertain whether there was any lag in alerting police to the source of the gunfire during critical moments.,0,153.00,0,0,Lombardo,,,1.00,0.00,0.40,54.56,0.00
15407,"Lombardo had said Monday that Campos, the guard, was shot at 9:59 p.m. and that the mass shooting began at 10:05 p.m.",0,117.00,0,0,"Lombardo, Campos",,,1.00,0.00,0.00,74.53,0.00
15408,"MGM Resorts pushed back on this account, first saying Tuesday that there were unspecified inaccuracies and then, on Thursday, releasing a statement directly contradicting parts of what the police had said….",0,206.00,0,0,,MGM Resorts,,0.00,0.12,0.24,31.55,0.00
