,sentence,span,propaganda
12641,"Trump, in an interview that aired Thursday morning, also blasted Sessions because, he said, the former Alabama senator “never took control of the Justice Department.”
",blasted ,1
12642,"About seven hours later, the country’s top law enforcement officer fired back.
",fired back,1
12643,"And, by doing so, took on Trump publicly in a way few Republicans in Washington have during his turbulent 19-month-old presidency.
","And, by doing so, took on Trump publicly in a way few Republicans in Washington have during his turbulent 19-month-old presidency.
",0
12644,"“I took control of the Department of Justice the day I was sworn in, which is why we have had unprecedented success at effectuating the President’s agenda — one that protects the safety and security and rights of the American people, reduces violent crime, enforces our immigration laws, promotes economic growth, and advances religious liberty,” the AG said in a statement.
",unprecedented success at effectuating the President’s agenda ,1
12645,"“While I am Attorney General, the actions of the Department of Justice will not be improperly influenced by political considerations.
","“While I am Attorney General, the actions of the Department of Justice will not be improperly influenced by political considerations.
",0
12646,"I demand the highest standards, and where they are not met, I take action,” Sessions added.
","I demand the highest standards, and where they are not met, I take action,” Sessions added.
",0
12647,"“However, no nation has a more talented, more dedicated group of law enforcement investigators and prosecutors than the United States.”
","However, no nation has a more talented, more dedicated group of law enforcement investigators and prosecutors than the United States",1
12648,"That last statement comes amid nearly constant complaints from Trump that Justice Department and FBI investigators are being unfair to the president and his allies.
",nearly constant complaints from Trump ,1
12649,"That line of criticism has been picked up by, among others, Rep. Duncan Hunter, R-Calif., who was indicted on federal officials this week on charges of misusing campaign finance funds for personal use.
","That line of criticism has been picked up by, among others, Rep. Duncan Hunter, R-Calif., who was indicted on federal officials this week on charges of misusing campaign finance funds for personal use.
",0
12650,"Trump did not directly answer a Fox News interviewer’s question about whether he intends to fire Sessions and Deputy Attorney General Rod Rosenstein, who is overseeing the special counsel investigation, after November’s congressional elections.
","Trump did not directly answer a Fox News interviewer’s question about whether he intends to fire Sessions and Deputy Attorney General Rod Rosenstein, who is overseeing the special counsel investigation, after November’s congressional elections.
",0
12651,"He also said he only gave the former senator the job because Sessions was a supporter during the 2016 presidential race.
","He also said he only gave the former senator the job because Sessions was a supporter during the 2016 presidential race.
",0
12652,"— John T. Bennett
","— John T. Bennett
",0
12653,"CQ-Roll Call
","CQ-Roll Call
",0
12654,"———
","———
",0
12655,"©2018 CQ-Roll Call, Inc., All Rights Reserved, Distributed by Tribune Content Agency, LLC.
","©2018 CQ-Roll Call, Inc., All Rights Reserved, Distributed by Tribune Content Agency, LLC.
",0
12656,"Sodom and Gomorrah was Judged by God Because Men Refused to Keep His Commandments in Dealing with the Wicked!
",Sodom and Gomorrah was Judged by God Because Men Refused to Keep His Commandments in Dealing with the Wicked,1
12657,"“How ridiculous to overlook judgment because of kindness then love wounds itself by killing justice!” -Charles Haddon Spurgeon
",How ridiculous ,1
12658,"How often I see and hear the professors of Christianity today walking contrary to the word and spirit of the Living Christ (2 Corinthians 3:6).
",How often I see and hear the professors of Christianity today walking contrary to the word and spirit of the Living Christ ,1
12659,"How willing they are to overlook judgment when it comes to the criminals that run rampant in this country, and on the other hand how willing they are to show compassion to the criminals while overlooking the victims.
","How willing they are to overlook judgment when it comes to the criminals that run rampant in this country, and on the other hand how willing they are to show compassion to the criminals while overlooking the victims",1
12660,"Why?
","Why?
",0
12661,"“Evil men understand not judgment” (Proverbs 28:5).
","“Evil men understand not judgment” (Proverbs 28:5).
",0
12662,"If you read the preceding verse, you will see that Scripture tells us “they that forsake the law praise the wicked.”
",they that forsake the law praise the wicked,1
12663,"take our poll - story continues below
","take our poll - story continues below
",0
12664,"Will Brett Kavanaugh be confirmed to the Supreme Court?
","Will Brett Kavanaugh be confirmed to the Supreme Court?
",0
12665,"Will Brett Kavanaugh be confirmed to the Supreme Court?
","Will Brett Kavanaugh be confirmed to the Supreme Court?
",0
12666,"Will Brett Kavanaugh be confirmed to the Supreme Court?
","Will Brett Kavanaugh be confirmed to the Supreme Court?
",0
12667,"* Yes, he will be confirmed.
","* Yes, he will be confirmed.
",0
12668,"No, he will not be confirmed.
","No, he will not be confirmed.
",0
12669,"Email *
","Email *
",0
12670,"Phone This field is for validation purposes and should be left unchanged.
","Phone This field is for validation purposes and should be left unchanged.
",0
12671,"Completing this poll grants you access to Freedom Outpost updates free of charge.
","Completing this poll grants you access to Freedom Outpost updates free of charge.
",0
12672,"You may opt out at anytime.
","You may opt out at anytime.
",0
12673,"You also agree to this site's Privacy Policy and Terms of Use.
","You also agree to this site's Privacy Policy and Terms of Use.
",0
12674,"This is exactly the Scriptural point that I want to make.
","This is exactly the Scriptural point that I want to make.
",0
12675,"From the pulpits in America today we here the events unfold of Sodom and Gomorra and how Abraham should have prayed longer in hopes that God would have spared them rather than the righteous people in Sodom and Gomorra doing what God had commanded.
","From the pulpits in America today we here the events unfold of Sodom and Gomorra and how Abraham should have prayed longer in hopes that God would have spared them rather than the righteous people in Sodom and Gomorra doing what God had commanded.
",0
12676,"And of course, not a second thought on man's behalf is given concerning the victims in these two cities.
","And of course, not a second thought on man's behalf is given concerning the victims in these two cities.
",0
12677,"Here is Abraham’s account…
","Here is Abraham’s account…
",0
12678,"“And the men rose up from thence, and looked toward Sodom: and Abraham went with them to bring them on the way.
","“And the men rose up from thence, and looked toward Sodom: and Abraham went with them to bring them on the way.
",0
12679,"And the Lord said, Shall I hide from Abraham that thing which I do; Seeing that Abraham shall surely become a great and mighty nation, and all the nations of the earth shall be blessed in him?
","And the Lord said, Shall I hide from Abraham that thing which I do; Seeing that Abraham shall surely become a great and mighty nation, and all the nations of the earth shall be blessed in him?
",0
12680,"For I know him, that he will command his children and his household after him, and they shall keep the way of the Lord, to do justice and judgment; that the Lord may bring upon Abraham that which he hath spoken of him.
","For I know him, that he will command his children and his household after him, and they shall keep the way of the Lord, to do justice and judgment; that the Lord may bring upon Abraham that which he hath spoken of him.
",0
12681,"And the Lord said, Because the cry of Sodom and Gomorrah is great, and because their sin is very grievous; I will go down now, and see whether they have done altogether according to the cry of it, which is come unto me; and if not, I will know.
","And the Lord said, Because the cry of Sodom and Gomorrah is great, and because their sin is very grievous; I will go down now, and see whether they have done altogether according to the cry of it, which is come unto me; and if not, I will know.
",0
12682,"And the men turned their faces from thence, and went toward Sodom: but Abraham stood yet before the Lord.
","And the men turned their faces from thence, and went toward Sodom: but Abraham stood yet before the Lord.
",0
12683,"And Abraham drew near, and said, Wilt thou also destroy the righteous with the wicked?
",the righteous ,1
12684,"Peradventure there be fifty righteous within the city: wilt thou also destroy and not spare the place for the fifty righteous that are therein?
",righteous ,1
12685,"That be far from thee to do after this manner, to slay the righteous with the wicked: and that the righteous should be as the wicked, that be far from thee: Shall not the Judge of all the earth do right?
",the righteous ,1
12686,"And the Lord said, If I find in Sodom fifty righteous within the city, then I will spare all the place for their sakes.
",righteous ,1
12687,"And Abraham answered and said, Behold now, I have taken upon me to speak unto the Lord, which am but dust and ashes: Peradventure there shall lack five of the fifty righteous: wilt thou destroy all the city for lack of five?
",righteous,1
12688,"And he said, If I find there forty and five, I will not destroy it.
","And he said, If I find there forty and five, I will not destroy it.
",0
12689,"And he spake unto him yet again, and said, Peradventure there shall be forty found there.
","And he spake unto him yet again, and said, Peradventure there shall be forty found there.
",0
12690,"And he said, I will not do it for forty's sake.
","And he said, I will not do it for forty's sake.
",0
12691,"And he said unto him, Oh let not the Lord be angry, and I will speak: Peradventure there shall thirty be found there.
","And he said unto him, Oh let not the Lord be angry, and I will speak: Peradventure there shall thirty be found there.
",0
12692,"And he said, I will not do it, if I find thirty there.
","And he said, I will not do it, if I find thirty there.
",0
12693,"And he said, Behold now, I have taken upon me to speak unto theLord: Peradventure there shall be twenty found there.
","And he said, Behold now, I have taken upon me to speak unto theLord: Peradventure there shall be twenty found there.
",0
12694,"And he said, I will not destroy it for twenty's sake.
","And he said, I will not destroy it for twenty's sake.
",0
12695,"And he said, Oh let not the Lord be angry, and I will speak yet but this once: Peradventure ten shall be found there.
","And he said, Oh let not the Lord be angry, and I will speak yet but this once: Peradventure ten shall be found there.
",0
12696,"And he said, I will not destroy it for ten's sake.
","And he said, I will not destroy it for ten's sake.
",0
12697,"And the Lord went his way, as soon as he had left communing with Abraham: and Abraham returned unto his place.""
","And the Lord went his way, as soon as he had left communing with Abraham: and Abraham returned unto his place.""
",0
12698,"-Genesis 18:16-33
","-Genesis 18:16-33
",0
12699,"Got questions.org explains very well…
","Got questions.org explains very well…
",0
12700,"Genesis chapter 19 records the two angels, disguised as human men, visiting Sodom and Gomorrah.
","Genesis chapter 19 records the two angels, disguised as human men, visiting Sodom and Gomorrah.
",0
12701,"Lot met the angels in the city square and urged them to stay at his house.
","Lot met the angels in the city square and urged them to stay at his house.
",0
12702,"The angels agreed.
","The angels agreed.
",0
12703,"The Bible then informs us, ""Before they had gone to bed, all the men from every part of the city of Sodom — both young and old — surrounded the house.
","The Bible then informs us, ""Before they had gone to bed, all the men from every part of the city of Sodom — both young and old — surrounded the house.
",0
12704,"They called to Lot, 'Where are the men who came to you tonight?
","They called to Lot, 'Where are the men who came to you tonight?
",0
12705,"Bring them out to us so that we can have sex with them.
",so that we can have sex with them,1
12706,"Genesis 19:4-5 The angels then proceed to blind all the men of Sodom and Gomorrah and urge Lot and his family to flee from the cities to escape the wrath that God was about to deliver.
","Genesis 19:4-5 The angels then proceed to blind all the men of Sodom and Gomorrah and urge Lot and his family to flee from the cities to escape the wrath that God was about to deliver.
",0
12707,"Lot and his family flee the city, and then ""the LORD rained down burning sulfur on Sodom and Gomorrah — from the LORD out of the heavens.
",the LORD ,1
12708,"Thus he overthrew those cities and the entire plain, including all those living in the cities..."" (Genesis 19:2 4) .
","Thus he overthrew those cities and the entire plain, including all those living in the cities..."" (Genesis 19:2 4) .
",0
12709,"In light of the passage, the most common response to the question, ""What was the sin of Sodom and Gomorrah?""
","In light of the passage, the most common response to the question, ""What was the sin of Sodom and Gomorrah?""
",0
12710,"is that it was homosexuality.
","is that it was homosexuality.
",0
12711,"That is how the term ”sodomy” came to be used to refer to anal sex between two men, whether consensual or forced.
","That is how the term ”sodomy” came to be used to refer to anal sex between two men, whether consensual or forced.
",0
12712,"Clearly, homosexuality was part of the reason God destroyed the two cities.
","Clearly, homosexuality was part of the reason God destroyed the two cities.
",0
12713,"The men of Sodom and Gomorrah wanted to perform homosexual gang rape on the two angels, who were disguised as men.
",wanted to perform homosexual gang rape on the two angels,1
12714,"At the same time, it is not biblical to say that homosexuality was the exclusive reason why God destroyed Sodom and Gomorrah.
","At the same time, it is not biblical to say that homosexuality was the exclusive reason why God destroyed Sodom and Gomorrah.
",0
12715,"The cities of Sodom and Gomorrah were definitely not exclusive in terms of the sins in which they indulged.
","The cities of Sodom and Gomorrah were definitely not exclusive in terms of the sins in which they indulged.
",0
12716,"Ezekiel 16:49-50 declares, ""Now this was the sin of your sister Sodom: She and her daughters were arrogant, overfed and unconcerned; they did not help the poor and needy.
","Ezekiel 16:49-50 declares, ""Now this was the sin of your sister Sodom: She and her daughters were arrogant, overfed and unconcerned; they did not help the poor and needy.
",0
12717,"They were haughty and did detestable things before me..."" The Hebrew word translated ""detestable"" refers to something that is morally disgusting and is the exact same word used in Leviticus 18:22 that refers to homosexuality as an ""abomination.""
",morally disgusting ,1
12718,"Similarly, Jude 7 declares, ""...Sodom and Gomorrah and the surrounding towns gave themselves up to sexual immorality and perversion.""
",gave themselves up to sexual immorality and perversion,1
12719,"So, again, while homosexuality was not the only sin in which the cities of Sodom and Gomorrah indulged, it does appear to be the primary reason for the destruction of the cities.
","So, again, while homosexuality was not the only sin in which the cities of Sodom and Gomorrah indulged, it does appear to be the primary reason for the destruction of the cities.
",0
12720,"Those who attempt to explain away the biblical condemnations of homosexuality claim that the sin of Sodom and Gomorrah was inhospitality.
","Those who attempt to explain away the biblical condemnations of homosexuality claim that the sin of Sodom and Gomorrah was inhospitality.
",0
12721,"The men of Sodom and Gomorrah were certainly being inhospitable.
","The men of Sodom and Gomorrah were certainly being inhospitable.
",0
12722,"There is probably nothing more inhospitable than homosexual gang rape.
",There is probably nothing more inhospitable than homosexual gang rape,1
12723,"But to say God completely destroyed two cities and all their inhabitants for being inhospitable clearly misses the point.
","But to say God completely destroyed two cities and all their inhabitants for being inhospitable clearly misses the point.
",0
12724,"While Sodom and Gomorrah were guilty of many other horrendous sins, homosexuality was the reason God poured fiery sulfur on the cities, completely destroying them and all of their inhabitants.
",horrendous sins,1
12725,"To this day, the area where Sodom and Gomorrah were located remains a desolate wasteland.
","To this day, the area where Sodom and Gomorrah were located remains a desolate wasteland.
",0
12726,"Sodom and Gomorrah serve as a powerful example of how God feels about sin in general, and homosexuality specifically.
","Sodom and Gomorrah serve as a powerful example of how God feels about sin in general, and homosexuality specifically",1
12727,"The point is that there were no righteous to be spared and the Lord did what man failed to do when they had the time to do it.
",righteous ,1
12728,"Question: How do you show mercy to a people who observe lying vanities (Jonah 2:4) and refuse to return to the Lord (Jeremiah 6:16) on His terms?
",How do you show mercy to a people who observe lying vanities (Jonah 2:4) and refuse to return to the Lord (Jeremiah 6:16) on His terms,1
12729,"(Jeremiah 22:3) God must be true and judgment must commence.
","(Jeremiah 22:3) God must be true and judgment must commence.
",0
12730,"Men today, like those of Sodom and Gomorrah, are not valiant for the truth.
","Men today, like those of Sodom and Gomorrah, are not valiant for the truth.
",0
12731,"They are valiant to proceed from evil to evil (Jeremiah 5).
","They are valiant to proceed from evil to evil (Jeremiah 5).
",0
12732,"They care more about the pleasures of sin for a season, than they are grieved for the afflictions of Joseph (Amos 6:6; Hebrews 11:25).
","They care more about the pleasures of sin for a season, than they are grieved for the afflictions of Joseph (Amos 6:6; Hebrews 11:25).
",0
12733,"Men today care more of compromise (where two men both agree on what they both know is wrong) and diplomacy (seduction in another guise) in promoting anarchy through “antinomianism” than they do the Law of God against the sins unto judgment that enslave men (John 8:34).
","Men today care more of compromise (where two men both agree on what they both know is wrong) and diplomacy (seduction in another guise) in promoting anarchy through “antinomianism” than they do the Law of God against the sins unto judgment that enslave men (John 8:34).
",0
12734,"Instead of establishing judgment within the gate and hating the evil and loving the good (Amos 5:15) in hopes that the Lord may be gracious to their repentance (2 Corinthians 7:10), they reject the counsel of God against them by hating the good and loving the evil, and that to their own damnation.
","Instead of establishing judgment within the gate and hating the evil and loving the good (Amos 5:15) in hopes that the Lord may be gracious to their repentance (2 Corinthians 7:10), they reject the counsel of God against them by hating the good and loving the evil, and that to their own damnation.
",0
12735,"They care more about the approbation and favor of men than they do that of the Living God and what His Word declares (Galatians 1:10),not knowing that which his highly favored among men is an abomination unto the Lord (Luke 16:15).
",They care ,1
12736,"They wear the cross.
","They wear the cross.
",0
12737,"Yet, they have no testimony of the power of God unto salvation by the cross because they do not practice what Christ required: “Deny yourselves and take up your cross and follow Me” (Matthew 16:24; Romans 1:16; 2 Corinthians 5:15, 13:4-5; Galatians 2:21).
","Yet, they have no testimony of the power of God unto salvation by the cross because they do not practice what Christ required: “Deny yourselves and take up your cross and follow Me” (Matthew 16:24; Romans 1:16; 2 Corinthians 5:15, 13:4-5; Galatians 2:21).
",0
12738,"Professed Christians in America today talk much of love through inaction, and yet know nothing of it (1 John 3:18).
","Professed Christians in America today talk much of love through inaction, and yet know nothing of it (1 John 3:18).
",0
12739,"They read what to do, but do it not!
","They read what to do, but do it not!
",0
12740,"In fact, they declare and proclaim how much they love God, and yet if you were to have them read His moral law and look to their own lives, they would find how much they actually hate God through their actions (Matthew 15:8).
","In fact, they declare and proclaim how much they love God, and yet if you were to have them read His moral law and look to their own lives, they would find how much they actually hate God through their actions (Matthew 15:8).
",0
12741,"Then again, these were the same types of people in Jerusalem crying out ""Crucify him!
","Then again, these were the same types of people in Jerusalem crying out ""Crucify him!
",0
12742,"Crucify him!
","Crucify him!
",0
12743,"We have no king but Caesar"" (John 19:15).
","We have no king but Caesar"" (John 19:15).
",0
12744,"And these are the same people today persecuting living Christians while praising the dead ones (Matthew 5:10).
","And these are the same people today persecuting living Christians while praising the dead ones (Matthew 5:10).
",0
12745,"They continuously preach of the heroism of Abraham, Moses, Joshua, David, Gideon, Samson and others from the pulpit and fail to understand what these men were doing when serving their generations (Psalm 71:18-19; Isaiah 51:4).
","They continuously preach of the heroism of Abraham, Moses, Joshua, David, Gideon, Samson and others from the pulpit and fail to understand what these men were doing when serving their generations (Psalm 71:18-19; Isaiah 51:4).
",0
12746,"Today, instead of doing the same, they simply hide under a false grace (Isaiah 30) and give themselves over to a man, the president, and declare end times.
","Today, instead of doing the same, they simply hide under a false grace (Isaiah 30) and give themselves over to a man, the president, and declare end times.
",0
12747,"They declare we're in the end times because they have failed to stand up and fight for their posterity in keeping the Lord's commandments and His judgments (Psalm 78:1-11).
","They declare we're in the end times because they have failed to stand up and fight for their posterity in keeping the Lord's commandments and His judgments (Psalm 78:1-11).
",0
12748,"Ungrateful reprobates, pretenders, counterfeits and hypocrites are what they are (Matthew 23:3).
","Ungrateful reprobates, pretenders, counterfeits and hypocrites ",1
12749,"Instead of reaching out to the greatest demographic here in America, public high schools, they send missionaries to foreign lands to do there what they fail to do for their own here.
","Instead of reaching out to the greatest demographic here in America, public high schools, they send missionaries to foreign lands to do there what they fail to do for their own here.
",0
12750,"Instead of fighting for their posterity and shutting down the illegalities of sodomy in all 50 states, they teach them to just do their best to understand that they cannot help themselves while God say’s the opposite (Leviticus 20:18).
","Instead of fighting for their posterity and shutting down the illegalities of sodomy in all 50 states, they teach them to just do their best to understand that they cannot help themselves while God say’s the opposite (Leviticus 20:18).
",0
12751,"Instead of fighting on their behalf against the federal government that is illegally indoctrinating them, they simply give their kids over to them to be dumbed down.
","Instead of fighting on their behalf against the federal government that is illegally indoctrinating them, they simply give their kids over to them to be dumbed down",1
12752,"And instead of protesting the murder of 58 million innocent babies (Proverbs 6:17), they merely pass it off as a ""choice,"" that being the lessons that they learned from the media that they say that they do not believe (Romans 1:18).
","And instead of protesting the murder of 58 million innocent babies (Proverbs 6:17), they merely pass it off as a ""choice,"" that being the lessons that they learned from the media that they say that they do not believe (Romans 1:18).
",0
12753,"The American Church, instead of protesting corruption in government through the example of the Biblical patriarchs and our American forefathers (Matthew 5:17-18), teach to submit to tyranny as if to suggest that it is somehow obedience to God (Romans 12:21).
",to submit to tyranny ,1
12754,"The Church in America has failed to keep the Commandments of the God of Israel.
",The Church in America has failed to keep the Commandments of the God of Israel,1
12755,"Instead of preaching out against sin, they advocate for that which God clearly condemns, thereby making war against God (Micah 3:5), which at length destroys our government, our country and our families.
","Instead of preaching out against sin, they advocate for that which God clearly condemns, thereby making war against God (Micah 3:5), which at length destroys our government, our country and our families",1
12756,"Look to their feigned strength that they profess to possess.
","Look to their feigned strength that they profess to possess.
",0
12757,"It is gauged by simply looking to the prevailing immoralities and debauchers of society.
","It is gauged by simply looking to the prevailing immoralities and debauchers of society.
",0
12758,"They are weak and pathetic and they have no excuses as to why America is where we is today!
","They are weak and pathetic and they have no excuses as to why America is where we is today!
",0
12759,"Why did God judge Sodom and Gomorrah?
","Why did God judge Sodom and Gomorrah?
",0
12760,"It's the same reason that he is judging America today (Amos 4:12), He cannot find the righteous in order to spare her (Jeremiah 22:3).
","It's the same reason that he is judging America today (Amos 4:12), He cannot find the righteous in order to spare her ",1
12761,"Defining the Wicked…
",the Wicked,1
12762,"Wicked men in the sight of God are those who have the knowledge of what to do when it comes to the right, but over and over again, they turn their shoulders and choose the wrong, through tolerance and apathy Americans are bringing upon themselves destruction (Deuteronomy 30:19) that will not be reversed, which leaves no alternative as to why God judges and is judging America today (Deuteronomy 28:63).
",through tolerance and apathy Americans are bringing upon themselves destruction ,1
12763,"Article posted with permission from Sons Of Liberty Media
","Article posted with permission from Sons Of Liberty Media
",0
12764,"Trump expresses sympathy for Reality Winner, whose mom asks for pardon
","Trump expresses sympathy for Reality Winner, whose mom asks for pardon
",0
12765,"ATLANTA — The record-setting prison sentence given to Reality Winner has caught the attention of President Donald Trump, who used it to take another dig at Attorney General Jeff Sessions.
",The record-setting prison sentence ,1
12766,"In an early Friday post on Twitter, Trump wrote that her sentence of 63 months in federal prison was unfair and accused Sessions of having a double standard.
",her sentence of 63 months in federal prison was unfair and accused Sessions of having a double standard,1
12767,"“Gee, this is ‘small potatoes’ compared to what Hillary Clinton did!” he tweeted about Winner, a former National Security Agency contractor who leaked a document about Russian meddling in the 2016 presidential election.
","Gee, this is ‘small potatoes’ compared to what Hillary Clinton did",1
12768,"“So unfair Jeff, Double Standard.”
","So unfair Jeff, Double Standard",1
12769,"The tweet drew no immediate response from Sessions.
","The tweet drew no immediate response from Sessions.
",0
12770,"But Winner’s mother had a blunt reply: “Please pardon my daughter Reality Winner.”
","But Winner’s mother had a blunt reply: “Please pardon my daughter Reality Winner.”
",0
12771,"The Twitter exchange marks a bizarre twist in the story of the 26-year-old former U.S. Air Force linguist, who on Thursday apologized to a federal judge and said she takes “full responsibility for my actions.”
",a bizarre twist ,1
12772,"Before her arrest, Winner called Trump an “orange fascist” on Twitter.
",an “orange fascist,1
12773,"Her disillusionment about his election was part of her reason for leaving the Air Force, her mother told the Atlanta Journal-Constitution in an interview last year.
","Her disillusionment about his election was part of her reason for leaving the Air Force, her mother told the Atlanta Journal-Constitution in an interview last year.
",0
12774,"“Something she said, she didn’t like her new boss,” Billie Winner-Davis said in June 2017.
","“Something she said, she didn’t like her new boss,” Billie Winner-Davis said in June 2017.
",0
12775,"“She was not going to serve in his military.”
","“She was not going to serve in his military.”
",0
12776,"Meanwhile, Trump continued pounding Sessions in other tweets, saying he needed to investigate “deleted Emails, Comey lies & leaks, Mueller conflicts, McCabe, Strzok, Page, Ohr…the Clinton Foundation, illegal surveillance of Trump Campaign, Russian collusion by Dems — and so much more.”
",continued pounding ,1
12777,"— Johnny Edwards
","— Johnny Edwards
",0
12778,"The Atlanta Journal-Constitution
","The Atlanta Journal-Constitution
",0
12779,"———
","———
",0
12780,"©2018 The Atlanta Journal-Constitution (Atlanta, Ga.), Distributed by Tribune Content Agency, LLC.
","©2018 The Atlanta Journal-Constitution (Atlanta, Ga.), Distributed by Tribune Content Agency, LLC.
",0
12781,"Cardinal Theodore McCarrick: Yet Another Fruit of Vatican II
","Cardinal Theodore McCarrick: Yet Another Fruit of Vatican II
",0
12782,"Still, we’re also averse to speaking in terms of good and evil.
","Still, we’re also averse to speaking in terms of good and evil.
",0
12783,"Right and wrong?
","Right and wrong?
",0
12784,"Maybe.
","Maybe.
",0
12785,"But good and evil have a supernatural ring we usually reserve for dramatic and abominable crimes, like genocide.
",abominable,1
12786,"Yet everything right is good, and everything wrong is evil.
","Yet everything right is good, and everything wrong is evil",1
12787,"The evils we encounter in our day-to-day lives might not be a spectacle, like jihadists beheading a journalist on live television.
","The evils we encounter in our day-to-day lives might not be a spectacle, like jihadists beheading a journalist on live television.
",0
12788,"All the same, evil is part of ordinary life.
","All the same, evil is part of ordinary life.
",0
12789,"It dwells deep in our hearts – each and every one of us.
","It dwells deep in our hearts – each and every one of us.
",0
12790,"The Prince of this World has made a grand display of his authority in the last few centuries.
",Prince of this World,1
12791,"Our saving grace is that, while Westerners no longer believe in God, they still believe in the Devil.
","Our saving grace is that, while Westerners no longer believe in God, they still believe in the Devil.
",0
12792,"We’re at least clear-eyed enough to recognize true evil at work in the world, even if we can no longer see the great Good hidden behind the veil.
","We’re at least clear-eyed enough to recognize true evil at work in the world, even if we can no longer see the great Good hidden behind the veil.
",0
12793,"This is the point about the McCarrick scandal that even religious commentators tend to overlook.
","This is the point about the McCarrick scandal that even religious commentators tend to overlook.
",0
12794,"How was he allowed to go on molesting young priests and seminarians when virtually the entire Church hierarchy knew what he was up to?
","How was he allowed to go on molesting young priests and seminarians when virtually the entire Church hierarchy knew what he was up to?
",0
12795,"And how was such a depraved individual ordained in the first place, let alone promoted to Cardinal-Archbishop of Washington?
",depraved,1
12796,"The answer is, ultimately, demonic.
",demonic,1
12797,"As Catholics, we ask St. Michael to “cast into Hell Satan and all the evil spirits who prowl about the world seeking the ruin of souls.” McCarrick and his fellow perverts in the clergy are responsible, not only for their sexual abuses, but also for chasing good men away from the priesthood.
",perverts,1
12798,"Spend enough time in Catholic World and you inevitably meet good men who quit the seminary because of some rampant (and often violent) depravity.
",rampant,1
12799,"What could suit the Devil more than to watch the Church burn her wheat as she gathers the chaff?
","What could suit the Devil more than to watch the Church burn her wheat as she gathers the chaff?
",0
12800,"The gates of Hell will not prevail against the Church, as Our Lord promised.
","The gates of Hell will not prevail against the Church, as Our Lord promised.
",0
12801,"But they won’t stop trying, either.
","But they won’t stop trying, either.
",0
12802,"They’ve attacked from the front, sending the Roman pagans, French Revolutionaries, and British American secularists.
","They’ve attacked from the front, sending the Roman pagans, French Revolutionaries, and British American secularists.
",0
12803,"They flank us by sending heretics like Arius, Luther, and Hans Kung.
","They flank us by sending heretics like Arius, Luther, and Hans Kung.
",0
12804,"Today, there’s also a fifth column working to tear down the walls from within – not only pedophiles like John Geoghan, but also predators like Theodore McCarrick.
",predators,1
12805,"Where did those fifth columnists enter?
","Where did those fifth columnists enter?
",0
12806,"Why, there’s only one possible explanation: the Second Vatican Council.
",there’s only one possible explanation,1
12807,"Aggiornamento sounds like a Lefebvrist slur.
","Aggiornamento sounds like a Lefebvrist slur.
",0
12808,"The idea that an ecumenical council of the Catholic Church would openly seek to “bring itself up to date” is ridiculous.
","The idea that an ecumenical council of the Catholic Church would openly seek to “bring itself up to date” is ridiculous.
",0
12809,"Yet that was precisely the aim.
","Yet that was precisely the aim.
",0
12810,"As St Pope John XXIII explained, “Its principal task will be concerned with the conditions and modernization of the Church after 20 centuries of life.” It was not supposed (as some have claimed) to simply update the liturgy from its last redesign in 1570.
","As St Pope John XXIII explained, “Its principal task will be concerned with the conditions and modernization of the Church after 20 centuries of life.” It was not supposed (as some have claimed) to simply update the liturgy from its last redesign in 1570.
",0
12811,"The goal was to align the Church more with modern world: a world defined, to a considerable extent, by its rejection of the Catholic world that flourished before the Protestant Reformation and French Revolution.
","The goal was to align the Church more with modern world: a world defined, to a considerable extent, by its rejection of the Catholic world that flourished before the Protestant Reformation and French Revolution.
",0
12812,"Now, I don’t believe Pope John saw himself as endangering either orthodoxy or sacred, immutable tradition.
","Now, I don’t believe Pope John saw himself as endangering either orthodoxy or sacred, immutable tradition.
",0
12813,"I share Pope Paul IV’s view.
","I share Pope Paul IV’s view.
",0
12814,"When he heard that the Council was being convened, then-Cardinal Montini is supposed to have sighed, “This holy old boy doesn’t realise what a hornet’s nest he’s stirring up.”
",holy old boy,1
12815,"Nonetheless, he stirred it.
","Nonetheless, he stirred it.
",0
12816,"The spirit of aggiornamento quickly spread through the Church in the 1960s – and the seminaries especially.
","The spirit of aggiornamento quickly spread through the Church in the 1960s – and the seminaries especially.
",0
12817,"Seminarians called for a more “participatory” administration.
","Seminarians called for a more “participatory” administration.
",0
12818,"They became involved in socialist politics.
","They became involved in socialist politics.
",0
12819,"They formed trade unions to demand the right to marry.
","They formed trade unions to demand the right to marry.
",0
12820,"They practiced sauvage intercommunion.
","They practiced sauvage intercommunion.
",0
12821,"Of course, they had their enablers in the hierarchy as well.
","Of course, they had their enablers in the hierarchy as well.
",0
12822,"Perhaps the worst was Archbishop Marty of Paris, a leader of the “priest-worker movement” who defended Marxist and existentialist atheisms on the floor of the Council.
","Perhaps the worst was Archbishop Marty of Paris, a leader of the “priest-worker movement” who defended Marxist and existentialist atheisms on the floor of the Council.
",0
12823,"During a homily at the Cathedral, he also praised the soixantehuitards: “the great outburst of the younger generation that suddenly wanted to take its place in life” that occurred in his city in May of 1968.
","During a homily at the Cathedral, he also praised the soixantehuitards: “the great outburst of the younger generation that suddenly wanted to take its place in life” that occurred in his city in May of 1968.
",0
